ID,Language_ID,Parameter_ID,Value,Code_ID,Comment,Source,Source_comment,Coders
GB257-ajas1235,ajas1235,GB257,?,,"Not much information is given on interrogation, except that no particle was found by Santandrea.","hvs_Santandrea_Kresh[61, 145]","Santandrea (1976: 61, 145)",JLE
GB257-ajie1238,ajie1238,GB257,1,GB257-1,,s_Lichtenberk_Houailou[101],Lichtenberk (1978:101),HS
GB257-ajyi1238,ajyi1238,GB257,0,GB257-0,"(Autotranslated from HG213:* -> GB257:*, given [0] HG213. Polar questions: intonation only)",g_PaynePayneSanchez_Asheninca[20];g_PaynePayneSantos_Apurucayali[20],Payne 1982:20,HunterGatherer
GB257-akab1249,akab1249,GB257,0,GB257-0,,hsdt_Portman_SAndaman[127];typ_ComrieZamponi_Great-Andamanese[74-75],"Comrie & Zamponi 2017:74-75; Portman 1898:127; Comrie & Zamponi 2018 (forthc.):65, 299, 357",RSC
GB257-akei1237,akei1237,GB257,?,,"In p. 378 it is noted that ""the interrogative does not differ from the declarative"", yet unclear if this includes intonation as well",s_Ray_Tasiriki,Ray (1926),DB
GB257-akha1245,akha1245,GB257,0,GB257-0,,"g_Dellinger_Akha[16, 52, 166-170];s_Hansson_Akha_2017[897]","Dellinger (1969:16, 52, 166-170); Hansson (2017:897)",BHR
GB257-akka1240,akka1240,GB257,1,GB257-1,,g_Huehnergard_Akkadian_2011[425],Huehnergard (2011: 425),NL
GB257-akla1241,akla1241,GB257,1,GB257-1,Yes/no questions use an 'intense rise of the voice'.,g_Chai_Aklan[27],Chai (1971:27),RHA
GB257-akoo1248,akoo1248,GB257,?,,,g_Hedinger_Akoose[191-193],Hedinger (2008:191-193),HPG;JY
GB257-akun1241,akun1241,GB257,1,GB257-1,,g_Aragon_Akuntsu[309],Aragon (2014:309),JLA
GB257-alab1237,alab1237,GB257,1,GB257-1,"Interrogatives are formed by the nasalization of the final vowel in combination with an interrogative intonation contour. Futhermore, often the nasalization is scarcely observable and it is the intonation alone which in the conveyor of polar interrogation.",g_Lupardus_Alabama[194-197],Lupardus (1982:194-197),ER
GB257-alab1254,alab1254,GB257,1,GB257-1,,g_Schneider-Blum_Alaaba[347-350],Schneider-Blum (2007:347-350),JG
GB257-alac1244,alac1244,GB257,0,GB257-0,,g_Zylstra_Mixteca-Alacatlatzala[39],Zylstra 2012: 39,RHE
GB257-alag1248,alag1248,GB257,1,GB257-1,,g_Mous_Alagwa[166-167],Mous 2016:166-167,AH;HPG;SR;SVM
GB257-alba1269,alba1269,GB257,?,,"""Bikol lacks any distinct morphosyntax for yes/no questions. Though prosody alone indicates such questions most often in my data, this construction appears to have gained some currency."" ",styp_Fincke_Bikol[54],Fincke 2002:54,JLA
GB257-aleu1260,aleu1260,GB257,0,GB257-0,,g_Bergsland_Aleut[82-83],Bergsland (1997:82-83),IC
GB257-alor1247,alor1247,GB257,?,,,g_Klamer_Alorese[86],Klamer 2011:86,JLA
GB257-alse1251,alse1251,GB257,?,,,g_Frachtenberg_Alsea[1-423],Frachtenberg (1918:1-423),JLA
GB257-aluk1238,aluk1238,GB257,0,GB257-0,,gtd_Kapp_Alu-Kurumba[189],Kapp 1982:189,JV
GB257-alya1239,alya1239,GB257,1,GB257-1,"(Autotranslated from HG213:* -> GB257:*, given [1] HG213. Polar questions: intonation only)",g_Yallop_Alyawarra[127],Yallop 1977:127,HunterGatherer
GB257-amah1246,amah1246,GB257,0,GB257-0,,s_Russell_Amahuaca_1965;s_Sparing_Amahuaca,Russell (1965); Sparing-Chávez (2012),RHE
GB257-amam1246,amam1246,GB257,0,GB257-0,,s_AkiPennington_Amam[52],Aki (2013: 52),JLA
GB257-amap1240,amap1240,GB257,?,,,s_Arsjo_Ama[88-89],Arsjo (1999:88-89),CAO
GB257-amar1272,amar1272,GB257,1,GB257-1,,s_Thurston_Amara[214],Thurston 1996:214,NP
GB257-amar1274,amar1274,GB257,?,,,g_Helberg_Amarakaeri[24],Helberg Chavéz (1984:24),EJ
GB257-amas1236,amas1236,GB257,1,GB257-1,See examples;no information on the intonation though.,g_Stevenson_Nyimang[109],Stevenson 1938:109ff,RK
GB257-ambo1250,ambo1250,GB257,1,GB257-1,,g_vanMinde_Malayu[260],van Minde (1997:260),JLA
GB257-amdo1237,amdo1237,GB257,0,GB257-0,,"gt_Haller_Themchen[68-72, 156-157]","Haller 2004:68-72, 156-157",JV
GB257-amha1245,amha1245,GB257,1,GB257-1,,,"Hagos, Desalegn (2014 p.c).",HS
GB257-amii1238,amii1238,GB257,?,,"No section on polar interrogatives but many polar questions found with no interrogative marking in the gloss. Additionally, content interrogatives bear rising intonation so it is likely this is how polar questions are marked.","g_Ford_Emmi[185, 257, 301, 371, 392, 436]","Ford (1998:185, 257, 301, 371, 392, 436)",JG
GB257-amis1246,amis1246,GB257,?,,,g_Wu_Amis[67-144],Wu 2006:67-144,ML
GB257-amri1238,amri1238,GB257,1,GB257-1,,g_Grussner_Mikir[129-131],Grussner (1978:129-131),JK
GB257-anci1242,anci1242,GB257,0,GB257-0,,g_Smyth_Greek[507-606],Herbert Weir Smyth (1920:507-606),KK
GB257-anci1244,anci1244,GB257,0,GB257-0,,g_Waltke_Biblical-Hebrew[684-685],Waltke (1990:684-685),JLA
GB257-ando1256,ando1256,GB257,0,GB257-0,"(Autotranslated from HG213:* -> GB257:*, given [0] HG213. Polar questions: intonation only)",g_Landaburu_Andoke[149],Landaburu 1979: 149,HunterGatherer
GB257-anei1239,anei1239,GB257,1,GB257-1,,g_Lynch_Anejom[133-134],Lynch 2000: 133-134,HDS
GB257-anfi1235,anfi1235,GB257,?,,No mention of polar interrogatives.,s_YigezuYehualashet_Anfillo[97-122],Yigezu and Yehualashet (1995:97-122),JLA
GB257-anga1288,anga1288,GB257,0,GB257-0,,"g_Kuolie_Tenyidie_2004[186, 188-190]","Kuolie (2004:186, 188-190)",JG
GB257-anga1290,anga1290,GB257,0,GB257-0,,s_EkoGraham_Angaataha[34-35],Eko & Graham (2014:34-35),JG
GB257-ango1257,ango1257,GB257,0,GB257-0,,s_Casilimas_Uwa;typ_Casilimas_Uwa;typ_Casilimas_Uwa_Modalidad,Casilimas (1995); Casilimas (1999); Casilimas (2004-2005),RHE
GB257-anta1255,anta1255,GB257,0,GB257-0,,"g_Bare-Thomas_Sakalava[199, 225, 240-251]","Bare-Thomas 1976:199, 225, 240-251",JK
GB257-anuf1239,anuf1239,GB257,?,,"Acc. to Smye (2004:101) polar questions are marked clause-finally by vowel lengthening and low tone, i.e. on the last syllable of the clause. Since this marker is bound it is not considered an interrogative particle for this feature.",g_Smye_Anufo[101],Smye 2004:101,JV;JY
GB257-anut1237,anut1237,GB257,1,GB257-1,Inferred,sd_Feinberg_Anutan[53],Feinberg 1977:53,NP
GB257-anuu1241,anuu1241,GB257,0,GB257-0,,s_Wright_Hkongso[96-97],Wright (2009:96-97),JG
GB257-aona1235,aona1235,GB257,0,GB257-0,,g_Coupe_Mongsen-Ao[148-149],Coupe (2007:148-149),JK
GB257-aoua1234,aoua1234,GB257,1,GB257-1,,g_Li_Zoulei[236],Li (2014:236),JLA
GB257-apat1240,apat1240,GB257,0,GB257-0,,g_Abraham_Apatani[103],Abraham (1985:103),EJ;JK
GB257-apin1244,apin1244,GB257,1,GB257-1,,g_deOliveira_Apinaje[226],Oliveira (2005:226),HPG
GB257-apma1240,apma1240,GB257,1,GB257-1,Intonation can accompany wh- interrogatives. But not mention of interrogation by intonation only.,g_Schneider_Abma[126-128],Schneider 2010:126-128,JLA
GB257-apma1241,apma1241,GB257,?,,Not clear.,g_Wade_Botin,Wade (1984:iv-327),JLA
GB257-apur1254,apur1254,GB257,1,GB257-1,"(Autotranslated from HG213:* -> GB257:*, given [1] HG213. Polar questions: intonation only)",g_Facundes_Apurina[536],Facundes 2000: 536; Facundes (2000:536),AS;CB;OK;PE;SR
GB257-arab1267,arab1267,GB257,?,,"(Autotranslated from HG213:* -> GB257:*, given [?] HG213. Polar questions: intonation only)",g_Hercus_Arabana[1-318],Hercus 1994:1-318,HunterGatherer;ML
GB257-arak1252,arak1252,GB257,1,GB257-1,,g_Francois_Araki[170],Francois (2002: 170),GB
GB257-arao1248,arao1248,GB257,0,GB257-0,,"g_Emkow_Araona[197-198, 499]","Emkow (2006:197-198, 499)",JG
GB257-arap1274,arap1274,GB257,?,,Not discussed.,"g_CowellMoss_Arapaho[81-83, 249]","Cowell and Moss (2008:81-83, 249)",HPG;JY
GB257-araw1273,araw1273,GB257,0,GB257-0,,"g_Solano_Arawete[289-291, 291-294]","Solano 2009: 289-291, 291-294",JM
GB257-araw1276,araw1276,GB257,1,GB257-1,,g_Pet_Lokono_2011[60],Pet (2011:60),MM;OK
GB257-arbo1245,arbo1245,GB257,1,GB257-1,,g_Hayward_Arbore[126],Hayward (1984:126),JLA
GB257-arch1244,arch1244,GB257,1,GB257-1,,s_Kibrik_Archi[361],Kibrik (1994:361),NH
GB257-area1240,area1240,GB257,1,GB257-1,,g_Naitoro_Areare[196-197],Naitoro 2013:196-197,DP
GB257-aree1239,aree1239,GB257,0,GB257-0,,s_Paisawaetal_Mukawa[12],Paisawa et al. (1976:12),JG
GB257-argo1244,argo1244,GB257,0,GB257-0,,g_Wetter_Argobba[378-379],Wetter (2010:378-379),ML
GB257-arhu1242,arhu1242,GB257,0,GB257-0,,"g_Frank_Ika[7, 108]","Frank (1985:7, 108)",RHE
GB257-arib1241,arib1241,GB257,?,,Not discussed,hvphon_Holzknecht_Markham;s_Holzknecht_Aribwatsa,Holzknecht 1997; Holzknecht 1989,RSC
GB257-arig1246,arig1246,GB257,0,GB257-0,,s_Oshodi_Arigidi[53],Oshodi (2011:53),NB
GB257-arik1265,arik1265,GB257,1,GB257-1,,d_Arikapuetal_Arikapu;s_vanderVoort_Arikapu,Arikapú et al (2010); van der Voort (2005),RHE
GB257-arom1237,arom1237,GB257,?,,no information,g_BaraKalSobolev_Juzhnoarumynskij;g_Capidan_Aromanii;s_Narumov_Arumynskij,Bara 2005: in passim; Capidan 1932: in passim; Narumov 2001: in passim,MM
GB257-arop1242,arop1242,GB257,1,GB257-1,,s_Whitacre_Arop-Sissano[2],Whitacre 1986:2,RSC
GB257-arop1243,arop1243,GB257,1,GB257-1,Polar interrogation marked by rising final intonation.,s_DJernes_Arop-Lokep[266],D'Jernes 2002:266,DP
GB257-aros1241,aros1241,GB257,1,GB257-1,,s_LynchHoroi_Arosi[571],Lynch & Horoi 2002:571,NP
GB257-arta1239,arta1239,GB257,1,GB257-1,This is based on examples.,"g_Kimoto_Arta[120, 304, 355, 434]","Kimoto (2017:120, 304, 355, 434)",RHA
GB257-ashe1272,ashe1272,GB257,1,GB257-1,,g_Mihas_Asheninka-Perene_2015[491],Mihas 2015: 491,JM
GB257-asoa1238,asoa1238,GB257,?,,Not mentioned.,s_Beltrame_Akka,Beltrame (1876); Beltrame (1877),JLE
GB257-assi1247,assi1247,GB257,0,GB257-0,,g_Cumberland_Assiniboine[377-378],Cumberland (2005:377-378),HPG
GB257-asur1254,asur1254,GB257,?,,Not enough description/examples.,s_Hahn_Asur[159],Hahn (1901:159),JG
GB257-asut1235,asut1235,GB257,?,,No mention of polar interrogation.,s_Kagaya_Pare[1-179],Kagaya (1989:1-179),JLA
GB257-atak1252,atak1252,GB257,0,GB257-0,,s_Swanton_Atakapa[133],Swanton (1929:  133),RHE
GB257-atam1240,atam1240,GB257,1,GB257-1,"I am coding ‘1’ because although this is not explicitly stated, the source describes an ‘interrogational intonation’ and polar interrogative clauses do not have other apparent formal differences from non-interrogatives.","s_Austin_Ata-Manobo[25, 36, 103-104]","Austin 1966: 25, 36, 103-104",JE
GB257-atay1247,atay1247,GB257,0,GB257-0,,g_Rau_Atayal[175-176],Rau (1992:175-176),KS
GB257-athp1241,athp1241,GB257,0,GB257-0,,g_Ebert_Athpare[111-112],Ebert (1997:111-112),EJ
GB257-atii1237,atii1237,GB257,?,,There is no discussion of interrogatives but there are a variety of interrogative particles.,s_Pennoyer_Inati[28],Pennoyer (1987:28),RHA
GB257-aton1241,aton1241,GB257,0,GB257-0,Unmarked polar interrogatives are formally indistinguishable from their declarative counterparts and can be interpreted as either.,g_vanBreugel_Atong_2014[428-429],Van Breugel (2014:428-429),BHR
GB257-aulu1238,aulu1238,GB257,1,GB257-1,,Simeon_Danabula_1953[5];ld_Ray_Aulua[279],Simeon & Danabula 1953:5; Ray 1926:279,RSC
GB257-auuu1241,auuu1241,GB257,?,,Not discussed,s_Scorza_Au[251],Scorza 1985:251,NP
GB257-auye1238,auye1238,GB257,1,GB257-1,,"s_Moxness_Auye[18, 76-77]","Moxness (2003:18, 76-77)",HPG
GB257-avac1239,avac1239,GB257,?,,Polar interrogation is not discussed in much detail. The only example available is a tag question.,g_Borges_Ava-Canoeiro[229],Borges 2006: 229,JM
GB257-avat1244,avat1244,GB257,?,,,,Defina and van Putten (p.c. 2014),HS
GB257-avok1242,avok1242,GB257,?,,Not mentioned.,s_Dimmendaal_Avokaya[5-33];typ_Callinan_Avokaya[48-72],Callinan (1984:48-72); Dimmendaal (1986:5-33),NH
GB257-awab1243,awab1243,GB257,0,GB257-0,"(Autotranslated from HG213:* -> GB257:*, given [0] HG213. Polar questions: intonation only)",sd_Lissarrague_Hunter-Macquarie[99],Lissarrague 2006:99,HunterGatherer
GB257-awac1239,awac1239,GB257,0,GB257-0,,g_Curnow_Awa,Curnow (1997),OK
GB257-awad1243,awad1243,GB257,1,GB257-1,,stv_Saksena_Awadhi[101],Saksena 1971:101,JI;ML;NK
GB257-awad1244,awad1244,GB257,1,GB257-1,,g_BennettBennett_AwadBing[235],Bennett & Bennett 1998: 235,MM
GB257-awap1236,awap1236,GB257,0,GB257-0,,"s_Loving_Awa[24,53-54];st_LovingMcKaughan_Awa[24,53-54]",Loving & Loving (1973:24); Loving & McKaughan (1973:53-54),RHA
GB257-awar1248,awar1248,GB257,?,,,g_Quigley_Awara_2002[1-128],Quigley (2002:1-128),ER
GB257-awar1249,awar1249,GB257,?,,Not mentioned,g_Levy_Awar[1-276],Levy (2002:1-276),RHA
GB257-awet1244,awet1244,GB257,?,,,styp_Borella_Aweti[1-1217];styp_Reiter_Aweti[1-579],Borella 2000:1-1217; Reiter 2011:1-579,EJ
GB257-awji1241,awji1241,GB257,?,,"Possibly, but the author claims not enough is known about intonation in the language",g_vanPutten_Awjila[149],Van Putten (2013:149),KS
GB257-awtu1239,awtu1239,GB257,1,GB257-1,"""While each word stress in a declarative sentence is uttered at approxi- mately the same pitch, in a yes-no question, the last word stress in the clause is appreciably higher in pitch than the others and the pitch of any syllables following that stressed syllable falls markedly as a result. Constituents in a yes-no question have the same freedom of order as in a declarative sentence.
"" (142)",g_Feldman_Awtuw[142],Feldman 1986: 142,EK
GB257-axam1237,axam1237,GB257,1,GB257-1,,g_Rangelov_Ahamb[299-301],Rangelov 2020: 299-301,VG
GB257-axiy1235,axiy1235,GB257,0,GB257-0,,ssoc_Iwasa_Axi-Azha[98],Iwasa (2004:98),BHR
GB257-ayac1239,ayac1239,GB257,0,GB257-0,"(Autotranslated from HG213:* -> GB257:*, given [0] HG213. Polar questions: intonation only)",g_Parker_Ayacuchano[92-94],Parker 1965:92-94,HunterGatherer
GB257-ayiw1239,ayiw1239,GB257,1,GB257-1,,typ_Naess_Aiwoo_Plural,Næss 2018 (pers. comm.),RSC
GB257-azha1235,azha1235,GB257,0,GB257-0,,ssoc_Iwasa_Axi-Azha[180],Iwasa (2004:180),JLA
GB257-baba1264,baba1264,GB257,?,,,14672,Nashipu (2005:in passim),JG
GB257-baba1266,baba1266,GB257,0,GB257-0,,g_AkumbuChibaka_Babanki[175-176],Akumbu & Chibaka (2012:175-176),ML
GB257-baba1267,baba1267,GB257,0,GB257-0,,g_Lee_Baba-Malay[258-263],Lee (2014:258-263),BHR
GB257-baba1268,baba1268,GB257,0,GB257-0,,s_Ray_Bambatana[578],Ray 1926:578,HW
GB257-babi1235,babi1235,GB257,0,GB257-0,,"g_Hargus_Witsuwiten[233, 371, 816]","Hargus (2007:233, 371, 816)",BHR
GB257-bada1257,bada1257,GB257,?,,,g_Balakrishnan_Badaga[100-102],Balakrishnan (1999:100-102),JK
GB257-bafa1247,bafa1247,GB257,?,,,g_Kouoh_Balong[309],Kouoh (2004:309),JK
GB257-bafi1243,bafi1243,GB257,0,GB257-0,,g_Guarisma_Bafia[304],Guarisma 2000:304,JV
GB257-bafu1246,bafu1246,GB257,1,GB257-1,,g_Ambe_Bafut[525-531];g_Tamanji_Bafut[155],"Ambe (1989:525-531), Tamanji (2010:155)",ML
GB257-baga1272,baga1272,GB257,0,GB257-0,There are only a few examples with polar interrogation.,"s_Ganong_Baga[50, 122]","Ganong (1998:50, 122)",SPI
GB257-baga1273,baga1273,GB257,?,,Not mentioned,s_Relich_Baga-Koba[1-35],Relich (1973:1-35),SPI
GB257-bagi1246,bagi1246,GB257,0,GB257-0,,g_Stevenson_Bagirmi[92],Stevenson (1969:92),NH
GB257-bagv1239,bagv1239,GB257,0,GB257-0,,gtd_Kibrik_Bagvalinskij[404],Kibrik (2001:404),NH
GB257-baha1259,baha1259,GB257,?,,Not discussed.,s_Holes_Bahraini-Arabic[241-255],Holes (2006:241-255),NB
GB257-baha1260,baha1260,GB257,1,GB257-1,,s_Hackert_Bahamian[134],Hackert (2013: 134),JW
GB257-bahi1252,bahi1252,GB257,1,GB257-1,,s_Rapacha_Kiranti-Bayung[50-51],Rapacha (2008:50-51),BHR
GB257-bahn1262,bahn1262,GB257,0,GB257-0,,"s_Banker_Bahnar[27, 32, 47]","Banker (1965:27, 32, 47)",HPG
GB257-baik1238,baik1238,GB257,0,GB257-0,,s_Hull_Baikenu[11],Hull 2001: 11,MM
GB257-baim1244,baim1244,GB257,0,GB257-0,,"s_Chirkova_Baima[85, 99]","Sun, Qi and Liu (2007:85, 99)",MY
GB257-baka1272,baka1272,GB257,0,GB257-0,,d_BrissonBoursier_Baka,Brisson & Boursier (1979: XIX-XX),JLE
GB257-baka1274,baka1274,GB257,?,,Not mentioned.,hvs_Santandrea_Kresh,Santandrea (1976: passim),JLE
GB257-baki1244,baki1244,GB257,1,GB257-1,,s_Ray_Baki[252],Ray (1926:252),NB
GB257-bala1311,bala1311,GB257,1,GB257-1,There is no discussion of polar interrogation but it does not seem that word order is affected or any particles are used.,"s_Gault_Sama-Bangingi[11, 21, 28]","Gault (1999:11, 21, 28)",RHA
GB257-bala1315,bala1315,GB257,1,GB257-1,,g_vandenBergBusenitz_Balantak[199],van den Berg & Busenitz (2012:199),RHA
GB257-bala1316,bala1316,GB257,1,GB257-1,,sd_Ozanne-Rivierre_Nyelayu[222-223],Ozanne-Rivierre 1998:222-223,HW
GB257-bali1278,bali1278,GB257,1,GB257-1,,g_Clynes_Balinese[245],Clynes 1995:245,RSC;TY
GB257-balo1261,balo1261,GB257,?,,Not enough data.,s_Mangulu_Baloi[125-140];s_Mangulu_Mpundza[190-227],Mangulu (1990: 125-140); Mangulu (1996: 190-227),JLE
GB257-balu1257,balu1257,GB257,1,GB257-1,,"g_Schokkin_Paluai[179, 355, 359-360]","Schokkin 2014:179, 355, 359-360",RSC
GB257-bamb1262,bamb1262,GB257,0,GB257-0,,g_Ahland_Northern-Mao[474],Ahland 2012:474,HH
GB257-bamb1266,bamb1266,GB257,1,GB257-1,,g_Ayuninjam_Mbili[356-360],Ayuninjam 1998:356-360,HS
GB257-bamb1269,bamb1269,GB257,1,GB257-1,,g_Dumestre_Bambara_2003[39],Dumestre 2003:39,HS
GB257-bamb1270,bamb1270,GB257,1,GB257-1,,g_Campbell_Pitu[158],Campbell 1989: 158,JY
GB257-bamu1253,bamu1253,GB257,1,GB257-1,,g_Nchare_Shupamem[468],Nchare (2012:468),ML
GB257-bamw1238,bamw1238,GB257,?,,Not mentioned.,s_Mangulu_Libobi[32-87];s_Mangulu_Lifonga[32-87];s_Mangulu_Likata[32-87],Mangulu (1990: 32-87),JLE
GB257-bana1288,bana1288,GB257,?,,,s_Ramos_Bhanaw,Ramos 1970: in passim,JY
GB257-band1344,band1344,GB257,0,GB257-0,,g_Cloarec-Heiss_Banda-Linda[464-467];s_Cloarec-Heiss_Banda[229],Cloarec-Heiss 1981:229; Cloarec-Heiss 1986:464-467,DA
GB257-bang1354,bang1354,GB257,0,GB257-0,,sd_Whitehead_Bobangi[76],Whitehead (1899: 76),JLE
GB257-bang1363,bang1363,GB257,?,,,,"Hantgan, Abbie (p.c. 2014)",HS
GB257-bang1369,bang1369,GB257,0,GB257-0,,s_Li_Bengru[73],Li (2003:73),MY
GB257-bank1256,bank1256,GB257,?,,,g_Atindogbe_Bankon[1-273],Atindogbe 1996:1-273,JK
GB257-bant1281,bant1281,GB257,?,,Probably yes since the nominaliser is not obligatory.,"g_Doornenbal_Bantawa[205, 319]","Doornenbal (2009:205, 319)",ER
GB257-bant1288,bant1288,GB257,?,,"Little information about polar interrogation, few examples","s_Zorc_Western-Visayas[77, 79];typ_Sommer_Bantoanon[306]","Sommer (2010:306); Zorc (1967:77, 79)",JG
GB257-bara1357,bara1357,GB257,1,GB257-1,,g_Kansakar_Baram[154-157],Kansakar (2011:154-157),EJ;JK
GB257-bara1361,bara1361,GB257,?,,Not mentioned.,hld_TuckerBryan_Non-Bantu-NEAfrica[141-160];hs_TuckerHackett_Zande[178-219];s_Santandrea_Banda-Zande,Santandrea (1965: passim); Tucker & Bryan (1966: 141-160); Tucker & Hackett (1959: 178-219),JLE
GB257-bara1369,bara1369,GB257,?,,,g_Rabenilaina_Bara_1974;g_Rabenilaina_Malgache,Rabenilaina 1974: in passim; Rabenilaina 1985: in passim,MM
